title,company,publishing_date,quota,location,url,job_id
Diagnosetechniker In / Hochvoltexperte IN,Garage Wismer AG,2025-11-20T14:45:07+01:00:00,100%,rotkreuz,https://www.jobscout24.ch/de/job/9951992/,9951992
Pizzaïolo/a 50-80%,TCS Touring Club Schweiz,2025-11-21T15:02:11+01:00:00,50% - 80%,flaach,https://www.jobscout24.ch/de/job/618a41fa-88c6-48ab-beae-488723cf9c80/,9948232
Verantwortliche/r für die Ausbildung der Lernenden 50%,TCS Touring Club Schweiz,2025-11-21T15:02:04+01:00:00,50%,ostermundigen,https://www.jobscout24.ch/de/job/19ce9576-d228-4ed5-8111-f051ac36a288/,9950469
Un.e aide infirmier.ère en CDD de 6 mois à 80-100 %,EHNV,2025-11-21T15:02:06+01:00:00,80% - 100%,site de chamblon et d'orbe,https://www.jobscout24.ch/de/job/6a172ef9-fdf2-4e92-af63-ce1afc7af04f/,9954226
Buchhalter (m/w/d) Immobilienbuchhaltung und Finanzbuchhaltung (80%-100%),Weisser Immobilien AG,2025-11-21T15:21:09+01:00:00,80% - 100%,zürich,https://www.jobscout24.ch/de/job/3b5ea48f-46ce-4579-9222-840d3b97b078/,9949163
Immobilienbewirtschafter (m/w/d),Weisser Immobilien AG,2025-11-21T15:20:55+01:00:00,100%,zürich,https://www.jobscout24.ch/de/job/78e599b0-8343-45d1-b470-0b028a3db683/,9951722
Temporäre Mitarbeiter/in Datenerfassung und -abgleich (80-100 %),ATAG Wirtschaftsorganisationen AG,2025-11-21T15:07:43+01:00:00,100%,bern,https://www.jobscout24.ch/de/job/9954211/,9954211
Immobilienbewirtschafter (m/w/d),RIMO AG,2025-11-21T14:45:27+01:00:00,100%,reiden,https://www.jobscout24.ch/de/job/27ae4629-13ef-4acb-8326-39d5fc76db9d/,9951848
Sachbearbeiter/-in Rechnungswesen,Eugen Schäfer AG,2025-11-21T14:44:59+01:00:00,80% - 100%,dielsdorf,https://www.jobscout24.ch/de/job/4ab5d64c-6c55-4eee-a851-86c1d002630b/,9954208
Planificateur-électricien (H/F) – CDI,Vallotton électricité SA,2025-11-21T14:25:19+01:00:00,100%,martigny,https://www.jobscout24.ch/de/job/bb155a17-2971-4844-8659-fb832b900cf5/,9954133
Projektleiter (m/w/d) im Tiefbau oder in Ausbildung (60-100%),DZ Ingenieure GmbH,2025-11-21T14:03:05+01:00:00,60% - 100%,schlieren,https://www.jobscout24.ch/de/job/4bb35919-5b29-4a1c-872a-f07c84450acc/,9378102
Leiter/in Konstruktion & Entwicklung w/m 100%,TSCHUDIN AG,2025-11-21T13:56:10+01:00:00,80% - 100%,grenchen,https://www.jobscout24.ch/de/job/c9896e03-fa14-4199-a0db-c9750a01b95a/,9954103
"Technische/r Berater/in (w/m) Stahlbau, Schweisstechnik & Korrosionsschutz",SCE GmbH Surface-Protection Consult Engineering,2025-11-21T13:36:31+01:00:00,100%,hombrechtikon,https://www.jobscout24.ch/de/job/93f105ce-8510-49c2-9e23-8da2a5d280d2/,9950862
Greenery Specialist / Gärtner*In Aargau (100%),Oxygen at Work AG,2025-11-21T12:51:20+01:00:00,100%,aarau,https://www.jobscout24.ch/de/job/4d5f78a9-1d1d-4374-84ea-fe51a269fa07/,9896875
(Advanced) Expert CRM 100% (m/w/d),OBI Bau- und Heimwerkermärkte Systemzentrale (Schweiz) GmbH,2025-11-21T12:30:06+01:00:00,100%,schaffhausen,https://www.jobscout24.ch/de/job/36b4bc32-d56e-4e59-b97c-fd8c9204c69b/,9953930
Sachbearbeiter/in Lohn + Sozialversicherungen,Gemeinde Bassersdorf,2025-11-21T12:12:33+01:00:00,50%,bassersdorf,https://www.jobscout24.ch/de/job/a6c9cad7-27bc-4fbc-88eb-19caa234c074/,9953925
Elektrofachmann/Elektrofachfrau,Scheidegger & Partner,2025-11-21T12:03:45+01:00:00,100%,buch am irchel,https://www.jobscout24.ch/de/job/9849424/,9849424
Metallbauschlosser/Monteur EFZ,Brunner Polybau GmbH,2025-11-21T11:42:32+01:00:00,80% - 100%,laupersdorf,https://www.jobscout24.ch/de/job/f48a2214-0628-4c4a-a5d5-6e9c85360faf/,9953892
Mitarbeiter/in teilzeit mit Durchblick in der Immobilienbuchhaltung,Weibel-Immobilienverwaltung GmbH,2025-11-21T11:02:28+01:00:00,40% - 60%,wangen bei olten,https://www.jobscout24.ch/de/job/5045926/,5045926
Assistent/-in der Schulleitung (80-100%),d'Insle Montessori-Schule AG,2025-11-21T11:01:32+01:00:00,80% - 100%,zürich,https://www.jobscout24.ch/de/job/2cdde145-0bc8-4e99-bd35-e4180b58eb7a/,9953703
Architekt /Bauplaner (m/w/d) 80-100%,Jakob und Emma Windler-Stiftung,2025-11-21T10:58:12+01:00:00,80% - 100%,stein am rhein,https://www.jobscout24.ch/de/job/867201bf-ebec-4b42-b5d1-a2f4f7341cb9/,9947513
Pilote industrialisation produits (H/F),Raoul Guyot SA,2025-11-21T10:55:27+01:00:00,100%,la chaux-de-fonds,https://www.jobscout24.ch/de/job/48a932ac-3bbf-4b9c-89bc-98b4843adc83/,9953701
Werkstattleiter (m/w/d),Aerni AG Maschinen- und Anlagenbau,2025-11-21T10:49:17+01:00:00,100%,waldkirch,https://www.jobscout24.ch/de/job/a4164097-b7fe-4055-a43b-d838091cb88f/,9938557
Technischer Sachbearbeiter/in,MAPO AG,2025-11-21T10:43:51+01:00:00,80% - 100%,glattbrugg,https://www.jobscout24.ch/de/job/9953561/,9953561
Leiter/in Fach- und Betriebssupport 80 – 100%,TCS Touring Club Schweiz,2025-11-21T15:02:08+01:00:00,80% - 100%,ostermundigen,https://www.jobscout24.ch/de/job/7ca05e3e-e4f0-4218-8054-7da2e48c510a/,9935088
